regione,citta,file_base,larghezza,altezza,alt_it,autore,licenza,licenza_url,pagina_fonte
Emilia-Romagna,Ravenna,ravenna-01,1600,1066,"Sanvitale03, Ravenna — Emilia-Romagna, Italia",Roger Culos,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Sanvitale03.jpg
Emilia-Romagna,Ravenna,ravenna-02,1600,1064,"Panoramica delle strutture del porto romano, Ravenna — Emilia-Romagna, Italia",Trapezaki,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Classe_antico_porto.jpg
Emilia-Romagna,Ravenna,ravenna-03,1600,1064,"Appian Way, near Casal Rotondo, Ravenna — Emilia-Romagna, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Emilia-Romagna,Reggio Emilia,reggio-emilia-01,1600,1067,"Reggio Emilia AV Mediopadana, Italy — Emilia-Romagna, Italia",Luca Bravo lucabravo,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"https://commons.wikimedia.org/wiki/File:Reggio_Emilia_AV_Mediopadana,_Italy_(Unsplash).jpg"
Emilia-Romagna,Reggio Emilia,reggio-emilia-02,1600,1067,"Skyline of Reggio Emilia , Italy — Emilia-Romagna, Italia",Paolo Picciati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Reggio_emilia_panorama_e_Ghiara.jpg
Emilia-Romagna,Reggio Emilia,reggio-emilia-03,1600,1071,"Church of Beata Vergine della Ghiara, Reggio Emilia , Italy — Emilia-Romagna, Italia",Paolo Picciati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Ghiara_Reggio_Emilia_cupola.JPG
Emilia-Romagna,Rimini,rimini-01,1600,1064,"Appian Way, near Casal Rotondo, Rimini — Emilia-Romagna, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Emilia-Romagna,Rimini,rimini-02,1600,1067,"Museo della Città di Rimini in Piazza Ferrari — Emilia-Romagna, Italia",Thomass1995,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Museo_della_Citt%C3%A0_di_Rimini.jpg
Emilia-Romagna,Rimini,rimini-03,1600,1067,"Rimini Beach — Emilia-Romagna, Italia",Sharon Mollerus,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Rimini_Beach_1_(2008).jpg
Friuli-Venezia Giulia,Lignano Sabbiadoro,lignano-sabbiadoro-01,1600,1067,"Aerial image of Lignano Sabbiadoro (view from the south) — Friuli-Venezia Giulia, Italia",Carsten Steger,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Aerial_image_of_Lignano_Sabbiadoro_(view_from_the_south).jpg
Friuli-Venezia Giulia,Lignano Sabbiadoro,lignano-sabbiadoro-02,1600,1067,"Lignano Sabbiadoro — Friuli-Venezia Giulia, Italia",Badener,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Lignano_Sabbiadoro_5214.jpg
Friuli-Venezia Giulia,Lignano Sabbiadoro,lignano-sabbiadoro-03,1600,1067,"Parco acquatico ""Acquasplash"" a Lignano Sabbiadoro — Friuli-Venezia Giulia, Italia",Szekere07,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Acquasplash_posteriore.png
Friuli-Venezia Giulia,Trieste,trieste-01,1600,1064,"Appian Way, near Casal Rotondo, Trieste — Friuli-Venezia Giulia, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Friuli-Venezia Giulia,Trieste,trieste-02,1600,1067,"Antiquarium e mura, Trieste — Friuli-Venezia Giulia, Italia",Silvia borri,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Antiquarium_SilviaBorri.jpg
Friuli-Venezia Giulia,Trieste,trieste-03,1600,1067,"L'autorizzazione per questa foto è stata fornita da WWF Italia, Trieste — Friuli-Venezia Giulia, Italia",Sebastian Lak,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Area_marina_Miramare_-_Marine_area_of_Miramare.jpg
Lazio,Roma,roma-01,1600,1067,"Colosseo 2020, Roma — Lazio, Italia",FeaturedPics,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Colosseo_2020.jpg
Lazio,Roma,roma-02,1600,1066,"Castel Sant'Angelo and Ponte Sant'Angelo in Rome , Italy, Roma — Lazio, Italia","Thomas Wolf , www.foto-tw.de",CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,https://commons.wikimedia.org/wiki/File:Engelsburg_und_Engelsbr%C3%BCcke_abends.jpg
Lazio,Roma,roma-03,1600,1067,"Palazzo Wedekind - esterno, Roma — Lazio, Italia",Pietro Camporese il Giovane,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Palazzo_Wedekind_-_esterno.jpg
Lazio,Tuscania,tuscania-01,1600,1067,"Tuscania Panorama — Lazio, Italia",NikonZ7II,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Tuscania_Panorama.jpg
Lazio,Tuscania,tuscania-02,800,531,"Tuscania 2014 — Lazio, Italia",© Ra Boe / Wikipedia,CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,https://commons.wikimedia.org/wiki/File:Tuscania_2014_by-RaBoe_017.jpg
Lazio,Tuscania,tuscania-03,800,534,"Santa Maria della Rosa in Tuscania — Lazio, Italia",Swedish National Heritage Board from Sweden,Public domain,,"https://commons.wikimedia.org/wiki/File:Santa_Maria_della_Rosa_in_Tuscania,_Italy_(7920558706).jpg"
Liguria,Genova,genova-01,1600,1064,"Appian Way, near Casal Rotondo, Genova — Liguria, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Liguria,Genova,genova-02,1600,1067,"Villa Durazzo-Pallavicini, Genova — Liguria, Italia",Isabella.nevoso,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Villa_Durazzo_Pallavicini_Genova11.jpg
Liguria,Genova,genova-03,1600,1060,"Palazzo Ducale di Genova — Liguria, Italia",Pierangelo66,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:-Palazzo_Ducale-.JPG
Liguria,Sanremo,sanremo-01,1600,1067,"The harbor, San Remo, Riviera-LCCN2001699351, Sanremo — Liguria, Italia",Photochrom Print Collection,Public domain,,"https://commons.wikimedia.org/wiki/File:The_harbor,_San_Remo,_Riviera-LCCN2001699351.jpg"
Liguria,Sanremo,sanremo-02,1600,1064,"Panorama notturno di Sanremo da Coldirodi (Uscita Autostrada Sanremo Ovest) — Liguria, Italia",Martorana Maurizio,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Panorama_Notturno_da_Coldirodi.jpg
Liguria,Sanremo,sanremo-03,800,533,"Complesso di Villa Matutia a Sanremo — Liguria, Italia",Jose Antonio,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Complesso_di_Villa_Matutia_a_Sanremo.jpg
Liguria,Sestri Levante,sestri-levante-01,1600,1067,"Sestri Levante - baia del silenzio — Liguria, Italia",Raffaele pagani,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Sestri_Levante_-_baia_del_silenzio.jpg
Liguria,Sestri Levante,sestri-levante-02,1600,1060,"Chiesa di Santo Stefano del Ponte, Sestri Levante, Liguria, Italia — Liguria, Italia",Dapa19,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Sestri_Levante-chiesa_santo_stefano_del_ponte-complesso_(2020).jpg
Liguria,Sestri Levante,sestri-levante-03,1600,1067,"Sestri Levante and Baia del Silenzio, the Bay of Silence — Liguria, Italia",Jiuguang Wang,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Sestri_Levante_and_Baia_del_Silenzio,_the_Bay_of_Silence.jpg"
Lombardia,Milano,milano-01,1600,1068,"Tower, Milan Malpensa Airport, Milan, Italy, Milano — Lombardia, Italia",Arne Müseler,CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,https://commons.wikimedia.org/wiki/File:Milan_malpensa_terminal_airport.jpg
Lombardia,Milano,milano-02,1600,1067,"View of the Porta Nuova area skyline from the Duomo in Milan, Milano — Lombardia, Italia",Daniel Case,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Milan_skyline_with_Unicredit_Tower_and_Bosco_Verticale.jpg
Lombardia,Milano,milano-03,1600,1067,"Civico museo archeologico di Milano — Lombardia, Italia",Orledio,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Civico_museo_archeologico_di_Milano_1.jpg
Marche,Recanati,recanati-01,1600,1067,"Concattedrale di San Flaviano (Recanati) — Marche, Italia",Mongolo1984,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Concattedrale_di_San_Flaviano_(Recanati),_interno_02.jpg"
Marche,Recanati,recanati-02,1200,800,"Library of Giacomo Leopardi in his house in Recanati — Marche, Italia",Quinok,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Recanati6750.jpg
Marche,Recanati,recanati-03,800,533,"Sacra conversazione, Recanati — Marche, Italia",Lorenzo Lotto,Public domain,,https://commons.wikimedia.org/wiki/File:Lorenzo_Lotto_007.jpg
Marche,Urbania,urbania-01,1600,1067,"Panorama di Urbania — Marche, Italia",Toni Pecoraro,Public domain,,https://commons.wikimedia.org/wiki/File:Urbania.jpg
Marche,Urbania,urbania-02,1600,1067,"Ducal Palace of Urbania — Marche, Italia",Ulrichulrich,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Barco_Ducale_Urbinia.JPG
Marche,Urbania,urbania-03,800,534,"Le Palais Ducal de Urbania, Marches Italie — Marche, Italia",Belmetauro,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Palazzo_Ducale_d%27Urbania.jpg
Piemonte,Torino,torino-01,1600,1064,"Appian Way, near Casal Rotondo, Torino — Piemonte, Italia",Livioandronico2013,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Appian_Way.jpg
Piemonte,Torino,torino-02,1600,1067,"Edited image of Night view of Via Roma : adjusted angle, removed people, Torino — Piemonte, Italia","Guilhem Vellut, edit by User:Bruce The Deus",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,"https://commons.wikimedia.org/wiki/File:Night_view_of_Via_Roma,_Turin_-_Edit_(Italy,_2019).jpg"
Piemonte,Torino,torino-03,1600,1064,"Turin as seen from w:Monte dei Cappuccini, Turin, Torino — Piemonte, Italia",Hpnx9420,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Turin_monte_cappuccini.jpg
Puglia,Alberobello,alberobello-01,1600,1068,"Cimitero di Alberobello — Puglia, Italia",Ciccioff,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Alberobello_-_Cimitero_di_Alberobello_-_2023-09-12_06-59-34_001.jpg
Puglia,Alberobello,alberobello-02,1600,1067,"Italy, Alberobello, Trullo (Trulli) — Puglia, Italia",Berthold Werner,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Alberobello_BW_2016-10-16_13-43-03.jpg
Puglia,Alberobello,alberobello-03,1600,1067,"Alberobello con il drone — Puglia, Italia",ParisTaras,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Alberobello_con_il_drone.jpg
Puglia,Grottaglie,grottaglie-01,1600,1067,"San Francesco De Geronimo - spoglie del Santo, Grottaglie — Puglia, Italia",Adcalian,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:SanFrancescoDeGeronimo.jpg
Puglia,Grottaglie,grottaglie-02,1600,1067,"Chiesa Madonna del Carmine - Presepe, Grottaglie — Puglia, Italia",Adcalian,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:PresepeCarmine.jpg
Puglia,Grottaglie,grottaglie-03,1600,1067,"Castello Episcopio, Grottaglie — Puglia, Italia",Adcalian,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:CastelloEpiscopio.jpg
Puglia,Otranto,otranto-01,1600,1068,"Otranto (Apulia, Italy) - Seafront north of Torre Matta — Puglia, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Otranto_-_Seafront_-_01.jpg
Puglia,Otranto,otranto-02,1600,1068,"Otranto (Apulia, Italy) - Coastal landscape East of town — Puglia, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Otranto_-_Coastal_landscape_-_07.jpg
Puglia,Otranto,otranto-03,1600,1068,"Otranto (Apulia, Italy) - The castle in late afternoon — Puglia, Italia",Benjamin Smith,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Otranto_-_Castello_-_03.jpg
Sardegna,Alghero,alghero-01,1600,1067,"Alghero, necropoli di Anghelu Ruju — Sardegna, Italia",Gianni Careddu,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Alghero,_necropoli_di_Anghelu_Ruju_(111).jpg"
Sardegna,Alghero,alghero-02,1600,1066,"Porto Conte e Capo Caccia visti da Monte Doglia, Alghero (SS) — Sardegna, Italia",Gianni Careddu,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Porto_Conte_e_Capo_Caccia_da_Monte_Doglia.jpg
Sardegna,Alghero,alghero-03,1600,1067,"Museo diocesano (Alghero) — Sardegna, Italia",Sailko,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"https://commons.wikimedia.org/wiki/File:Alghero,_museo_diocesano_(ex-chiesa_del_rosario)_01.JPG"
Sardegna,Cagliari,cagliari-01,1600,1067,"At Cagliari 58 — Sardegna, Italia",Photograph by Mike Peel ( www.mikepeel.net ).,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:At_Cagliari_2024_58.jpg
Sardegna,Cagliari,cagliari-02,1600,1067,"Cagliari train station, Sardinia — Sardegna, Italia",Photograph by Mike Peel ( www.mikepeel.net ).,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:At_Cagliari_2024_85.jpg
Sardegna,Cagliari,cagliari-03,1600,1067,"Cagliari Cathedral — Sardegna, Italia",Holger Uwe Schmitt,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:%22Cattedrale_di_Santa_Maria_e_Santa_Cecilia%22_(Cagliari)._12.jpg
Sardegna,La Maddalena,la-maddalena-01,1600,1067,"Arsenale (g8 summit la maddalena) la maddalena - sardinia - sardegna — Sardegna, Italia",br1dotcom,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Arsenale_la_maddalena_2.jpg
Sardegna,La Maddalena,la-maddalena-02,1600,1067,"La Maddalena - Municipio — Sardegna, Italia",Gianni Careddu,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:La_Maddalena_-_Municipio.JPG
Sardegna,La Maddalena,la-maddalena-03,1600,1067,"La Maddalena — Sardegna, Italia",Gianni Careddu,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:La_Maddalena_-_Il_porto_(02).JPG
Sardegna,Olbia,olbia-01,1600,1067,"Palazzo municipale di Olbia — Sardegna, Italia",Dr. Thomas Liptak,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Sardinia,_Olbia,_Municipio_(town_hall).jpg"
Sardegna,Olbia,olbia-02,1600,1067,"Vista aerea di Olbia, con l'aeroporto e il porto visibili — Sardegna, Italia",Japs 88,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Aerial_view_of_Olbia.jpg
Sardegna,Olbia,olbia-03,1600,1067,"De:Olbia (Sardinien) : Lungomare di Olbia () — Sardegna, Italia",Dr. Thomas Liptak,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,"https://commons.wikimedia.org/wiki/File:Sardinia,_Olbia,_Lungomare_di_Olbia.jpg"
