id,scuola,citta,url,stato,dettaglio,testo_suggerito
parola-italian-language-school,Parola Italian Language School,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-lorenzo-de-medici-firenze,Istituto Lorenzo de' Medici Firenze,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
centro-lingua-italiana-calvino,Centro Lingua Italiana Calvino,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-galilei,Istituto Galilei,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
sprachcaffe-firenze,Sprachcaffe Firenze,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-europeo,Istituto Europeo,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
centro-ponte-vecchio,Centro Ponte Vecchio,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
accademia-europea-di-firenze,Accademia Europea di Firenze,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
centro-koine-firenze,Centro Koinè Firenze,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
accademia-riaci,Accademia Riaci,Firenze,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
dilit-international-house,Dilit International House,Roma,https://www.dilit.it,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
torre-di-babele,Torre di Babele,Roma,https://www.torredibabele.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scuola-leonardo-da-vinci-roma,Scuola Leonardo da Vinci Roma,Roma,https://www.scuolaleonardo.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
studioitalia,Studioitalia,Roma,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
kappa-language-school,Kappa Language School,Roma,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scudit-scuola-d-italiano,Scudit Scuola d'Italiano,Roma,https://www.scudit.net,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
ciao-italia,Ciao Italia,Roma,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
italiaidea,Italiaidea,Roma,https://www.italiaidea.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scuola-d-italiano-dante-alighieri-roma,Scuola d'Italiano Dante Alighieri Roma,Roma,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-lorenzo-de-medici-roma,Istituto Lorenzo de' Medici Roma,Roma,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-italiano,Istituto Italiano,Roma,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scuola-leonardo-da-vinci-milano,Scuola Leonardo da Vinci Milano,Milano,https://www.scuolaleonardo.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
linguadue,Linguadue,Milano,https://www.linguaviva.it,SITO_NON_RAGGIUNGIBILE,https://www.linguaviva.it → URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>,
il-centro,Il Centro,Milano,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
ellci-milano,ELLCI Milano,Milano,https://www.ellci.it,AGGIORNATO,Date future trovate: 2026-09 (più formula 'ogni lunedì'),
cultura-italiana-bologna,Cultura Italiana Bologna,Bologna,https://www.culturaitaliana.it,DA_AGGIORNARE,Solo date passate (2026-03): il calendario sul sito sembra vecchio.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
madrelingua,Madrelingua,Bologna,https://madrelinguaitaliano.com,DA_AGGIORNARE,Solo date passate (2022-09): il calendario sul sito sembra vecchio.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
alce-accademia-lingue-e-culture-europee,ALCE Accademia Lingue e Culture Europee,Bologna,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-venezia,Istituto Venezia,Venezia,https://www.istitutovenezia.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
easy-italian-language-art,Easy Italian Language & Art,Venezia,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
ca-foscari-school-for-international-education,Ca' Foscari School for International Education,Venezia,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
idea-verona,Idea Verona,Verona,https://www.ideaverona.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
lingua-it,Lingua IT,Verona,https://www.linguait.it,SITO_NON_RAGGIUNGIBILE,https://www.linguait.it → HTTPError: HTTP Error 403: Forbidden,
l-italiano-con-noi,L'Italiano con Noi,Verona,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
bertrand-russell,Bertrand Russell,Padova,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
piccola-universita-italiana-trieste,Piccola Università Italiana Trieste,Trieste,https://www.piccolauniversitaitaliana.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-venezia-trieste,Istituto Venezia Trieste,Trieste,https://www.istitutovenezia.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
linguaviva-lignano,Linguaviva Lignano,Lignano Sabbiadoro,https://www.linguaviva.it,SITO_NON_RAGGIUNGIBILE,https://www.linguaviva.it → URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)>,
alpha-beta-piccadilly-bolzano,Alpha Beta Piccadilly Bolzano,Bolzano,https://www.alphabeta.it,DA_AGGIORNARE,"Solo date passate (2026-03, 2026-04): il calendario sul sito sembra vecchio.","Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
alpha-beta-piccadilly-merano,Alpha Beta Piccadilly Merano,Merano,https://www.alphabeta.it,DA_AGGIORNARE,"Solo date passate (2026-03, 2026-04): il calendario sul sito sembra vecchio.","Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
clm-bell-trento,CLM Bell Trento,Trento,https://www.clm-bell.it,AGGIORNATO,"Date future trovate: 2026-07, 2026-09",
clm-bell-riva-del-garda,CLM Bell Riva del Garda,Riva del Garda,https://www.clm-bell.it,AGGIORNATO,"Date future trovate: 2026-07, 2026-09",
l-italiano-porticando,L'Italiano Porticando,Torino,https://www.italianoporticando.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
ciaoitaly-scuola-leonardo-da-vinci-torino,CiaoItaly Scuola Leonardo da Vinci Torino,Torino,https://www.scuolaleonardo.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
a-door-to-italy,A Door to Italy,Genova,https://www.adoortoitaly.com,SITO_NON_RAGGIUNGIBILE,https://www.adoortoitaly.com → URLError: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1016)>,
scuola-tricolore,Scuola Tricolore,Genova,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
abc-school-sestri-levante,ABC School Sestri Levante,Sestri Levante,https://www.abcschool.com,AGGIORNATO,Formula 'ogni lunedì' trovata: valida tutto l'anno.,
omnilingua,Omnilingua,Sanremo,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
romanica,Romanica,Modena,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
reggio-lingua,Reggio Lingua,Reggio Emilia,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scuola-palazzo-malvisi-ravenna,Scuola Palazzo Malvisi Ravenna,Ravenna,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
scuola-palazzo-malvisi-bagno-di-romagna,Scuola Palazzo Malvisi Bagno di Romagna,Bagno di Romagna,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
tiberius-international,Tiberius International,Rimini,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
societa-dante-alighieri-siena,Società Dante Alighieri Siena,Siena,https://www.dantealighieri.com,SITO_NON_RAGGIUNGIBILE,https://www.dantealighieri.com → HTTPError: HTTP Error 403: Forbidden,
saena-iulii,Saena Iulii,Siena,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
universita-per-stranieri-di-siena,Università per Stranieri di Siena,Siena,https://www.unistrasi.it,AGGIORNATO,"Date future trovate: 2026-07, 2026-08, 2026-09, 2027-04",
cultura-italiana-arezzo,Cultura Italiana Arezzo,Arezzo,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
lucca-italian-school,Lucca Italian School,Lucca,https://www.luccaitalianschool.com,DATE_MANCANTI,Nessuna data nel testo della pagina.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
centro-koine-lucca,Centro Koinè Lucca,Lucca,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
istituto-linguistico-mediterraneo,Istituto Linguistico Mediterraneo,Pisa,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
centro-culturale-giacomo-puccini,Centro Culturale Giacomo Puccini,Viareggio,,SITO_MANCANTE,Nessun URL in `sito`/`pagina_corsi`: aggiungilo in dati.js.,"Le date di inizio non sono pubblicate sul sito della scuola. Nella maggior parte delle scuole i corsi intensivi di gruppo partono ogni lunedì (i principianti assoluti in date fisse, in genere ogni due settimane). Scrivi alla scuola per confermare la prossima data utile: in alta stagione (giugno–settembre) i posti si chiudono 2–3 settimane prima."
